Group size: 17933                                                  Group size: 63757
[0.000654] Осенин Владимир Олегович                                [0.017066] Самсонов Артём Анатольевич
[0.000612] Шнейдер Михаил Яковлевич                                [0.017002] Прохоров (Шинфейн) Максим Геннадьевич
[0.000558] Билунов Денис Борисович                                 [0.015565] Павлов Владимир Георгиевич
[0.000500] Каржаева Неонила Васильевна                             [0.015539] Давыденко Денис Вячеславович
[0.000446] Гарначук Владимир Федорович                             [0.015447] Гаврилов Андрей Игоревич
[0.000403] Мицкевич Владислав Рудольфович                          [0.015229] Марянин Игорь Сергеевич
[0.000390] Чупров Алексей Геннадьевич                              [0.015193] Василенко Павел Владимирович
[0.000336] Панибратченко Андрей Валерьевич                         [0.014118] Малышев Владимир Эдуардович
[0.000335] Доможиров Евгений Валерьевич                            [0.014104] Шатов Станислав Николаевич
[0.000335] Бескоровайный Алексей Викторович                        [0.012748] Крылов Олег Анатольевич
[0.000321] Ободина Стелла Юрьевна                                  [0.012183] Мицкевич Владислав Рудольфович
[0.000270] Надеев Анджей Рашидович                                 [0.011420] Мыльникова Марина Сергеевна
[0.000223] Ляскин Николай Николаевич                               [0.011340] Чупров Алексей Геннадьевич
[0.000223] Митюшкина Надежда Львовна                               [0.009899] Романовский Владимир Геннадьевич
[0.000180] Мокшанов Александр Александрович                        [0.009443] Каржаева Неонила Васильевна
[0.000167] Блиндул Алексей Валерьевич                              [0.008503] Савостин Михаил Олегович
[0.000167] Некрасов Дмитрий Александрович                          [0.007161] Городенцев Андрей Геннадьевич
[0.000111] Косякин Константин Юрьевич                              [0.006556] Панибратченко Андрей Валерьевич
[0.000111] Доброхотов Роман Александрович                          [0.004457] Надеев Анджей Рашидович
