Group size: 16616                                                  Group size: 17681                                                  Group size: 18817                                                  Group size: 28577
[0.254824] Артёмов Игорь Владимирович                              [0.017314] Шац Михаил Григорьевич                                  [0.047534] Пономарев Илья Владимирович                             [0.208337] Ляскин Николай Николаевич
[0.254292] Романова Ольга Евгеньевна                               [0.017042] Резчиков (Абанин) Алексей Романович                     [0.047449] Барабаш Кирилл Владимирович                             [0.204873] Колесников Сергей Владимирович
[0.248217] Тюрин Андрей Владимирович                               [0.016681] Колесников Вадим Владимирович                           [0.045730] Бурашников Дмитрий Андреевич                            [0.204419] Завесов Александр Львович
[0.248119] Шалимов Роман Николаевич                                [0.016302] Лазарева Татьяна Юрьевна                                [0.041748] Давыдов Андрей Владимирович                             [0.191423] Коровин Вадим Александрович
[0.238537] Гонгальский Максим Брониславович                        [0.014612] Радченко Всеволод Валерьевич                            [0.039504] Кара-Мурза Владимир Владимирович                        [0.180327] Санников Максим Андреевич
[0.235952] Рыклин Александр Юрьевич                                [0.013321] Васильева Елена Борисовна                               [0.037977] Волкова Елена Ивановна                                  [0.176486] Билунов Денис Борисович
[0.232673] Крашенинников Федор Геннадиевич                         [0.013215] Собчак Ксения Анатольевна                               [0.036262] Газарян Сурен Владимирович                              [0.174187] Кралин Владлен Леонидович (Владимир Тор)
[0.230937] Резчиков (Абанин) Алексей Романович                     [0.011390] Дровецкий Василий Валерьевич                            [0.036176] Бадыкова Фиалка Ахмадеевна                              [0.173528] Лукьянова Елена Анатольевна
[0.229841] Шальнев Андрей Сергеевич                                [0.010391] Быков Дмитрий Львович                                   [0.035765] Бабченко Аркадий Аркадьевич                             [0.169020] Лебедев Константин Владимирович
[0.221365] Радченко Всеволод Валерьевич                            [0.007582] Кралин Владлен Леонидович (Владимир Тор)                [0.034876] Пионтковский Андрей Андреевич                           [0.162338] Кавказский Николай Юрьевич
[0.221091] Лурье Олег Анатольевич                                  [0.007128] Воробьев Станислав Анатольевич                          [0.034425] Ольшанский Леонид Дмитриевич                            [0.160206] Константинов Даниил Ильич
[0.219619] Сахнин Алексей Викторович                               [0.006172] Пушкарева Наталья Александровна                         [0.033830] Кралин Владлен Леонидович (Владимир Тор)                [0.156296] Удальцова Анастасия Олеговна
[0.219090] Ольшанский Леонид Дмитриевич                            [0.006109] Поткин (Белов) Александр Анатольевич                    [0.033807] Албуров Георгий Валентинович                            [0.155799] Шнейдер Михаил Яковлевич
[0.216165] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.005956] Каспаров Гарри Кимович                                  [0.032891] Тюрин Андрей Владимирович                               [0.153426] Шелков Павел Николаевич
[0.215846] Залесский Александр Валерьевич                          [0.005323] Печенев Александр Сергеевич                             [0.031326] Вистицкий Михаил Михайлович                             [0.150280] Гонгальский Максим Брониславович
[0.213191] Мирзоев Владимир Владимирович                           [0.005251] Чирикова Евгения Сергеевна                              [0.030629] Развозжаев Леонид Михайлович                            [0.147419] Аитова Екатерина Петровна
[0.206340] Магкоева Белла (Изабель) Казбековна                     [0.005222] Навальный Алексей Анатольевич                           [0.030171] Баронова Мария Николаевна                               [0.140163] Волкова Александра Ивановна (Женя Отто)
[0.204801] Пономарев Илья Владимирович                             [0.005207] Винокуров Александр Иванович                            [0.028892] Аншаков Михаил Геннадьевич                              [0.138530] Отставных Валерий Владимирович
[0.203811] Билунов Денис Борисович                                 [0.004973] Чернов Дмитрий Валерьевич                               [0.028341] Виноградов Сергей Николаевич                            [0.135628] Бакиров Игорь Вакильевич
[0.201600] Кавказский Николай Юрьевич                              [0.004894] Ольшанский Леонид Дмитриевич                            [0.028156] Чернышева Наталья Юрьевна                               [0.133202] Залесский Александр Валерьевич
[0.199776] Отставных Валерий Владимирович                          [0.004863] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.026305] Магкоева Белла (Изабель) Казбековна                     [0.130316] Русакова Елена Леонидовна
[0.197910] Будрайтскис Илья Борисович                              [0.004769] Волкова Александра Ивановна (Женя Отто)                 [0.026074] Будрайтскис Илья Борисович                              [0.129798] Шальнев Андрей Сергеевич
[0.195051] Горник Александр Львович                                [0.004736] Александрова-Зорина Елизавета Борисовна                 [0.026022] Санников Максим Андреевич                               [0.123671] Сахнин Алексей Викторович
[0.194102] Вистицкий Михаил Михайлович                             [0.004617] Адагамов Рустем Ринатович                               [0.025120] Поткин (Белов) Александр Анатольевич                    [0.119069] Магкоева Белла (Изабель) Казбековна
[0.194055] Чернышева Наталья Юрьевна                               [0.004524] Зорин Константин Игоревич                               [0.024833] Мирзоев Владимир Владимирович                           [0.117717] Верзилов Петр Юрьевич
[0.191621] Бакиров Игорь Вакильевич                                [0.004480] Сухоруков Дмитрий Владимирович                          [0.024377] Демидов Михаил Александрович                            [0.114641] Лоскутов Артем Александрович
[0.187959] Гуляев Сергей Владимирович                              [0.004472] Витухновская Алина Александровна                        [0.024239] Сахнин Алексей Викторович                               [0.110744] Янкаускас Константин Стасисович
[0.186681] Беззуб Алексей Юрьевич                                  [0.004359] Аншаков Михаил Геннадьевич                              [0.024182] Пушкарева Наталья Александровна                         [0.109942] Гуляев Сергей Владимирович
[0.183769] Безруких Олег Анатольевич                               [0.004295] Магкоева Белла (Изабель) Казбековна                     [0.024127] Езеев Федор Андреевич                                   [0.105764] Богомолов Юрий Александрович
[0.177813] Поткин (Белов) Александр Анатольевич                    [0.003810] Крылов Олег Анатольевич                                 [0.024063] Дровецкий Василий Валерьевич                            [0.103849] Демушкин Дмитрий Николаевич
[0.177254] Лукьянова Елена Анатольевна                             [0.003618] Шаргунов Сергей Александрович                           [0.023398] Кавказский Николай Юрьевич                              [0.103788] Стариков Иван Валентинович
[0.175396] Бондарик Николай Николаевич                             [0.003511] Шалимов Роман Николаевич                                [0.023321] Шалимов Роман Николаевич                                [0.102872] Медведев Кирилл Феликсович
[0.175233] Матвеев Михаил Николаевич                               [0.003507] Шеин Олег Васильевич                                    [0.022751] Шатов Станислав Николаевич                              [0.100184] Митюшкина Надежда Львовна
[0.172299] Печенев Александр Сергеевич                             [0.003501] Баронова Мария Николаевна                               [0.022663] Резчиков (Абанин) Алексей Романович                     [0.097801] Поткин (Белов) Александр Анатольевич
[0.171473] Волкова Елена Ивановна                                  [0.003445] Бабченко Аркадий Аркадьевич                             [0.022402] Удальцова Анастасия Олеговна                            [0.097333] Дровецкий Василий Валерьевич
[0.170382] Николаев Александр Александрович                        [0.003398] Петречук Лариса Леонидовна                              [0.021889] Лебедев Константин Владимирович                         [0.095064] Вистицкий Михаил Михайлович
[0.170203] Удальцова Анастасия Олеговна                            [0.003250] Санников Максим Андреевич                               [0.021250] Лоскутов Артем Александрович                            [0.094166] Дергачев Вадим Александрович
[0.165469] Холмогорова Наталия Леонидовна                          [0.003239] Удальцов Сергей Станиславович                           [0.020913] Андреянов Сергей Николаевич                             [0.094045] Галямина Юлия Евгеньевна
[0.162823] Сангаев Игорь Вячеславович                              [0.003196] Гонгальский Максим Брониславович                        [0.020546] Лурье Олег Анатольевич                                  [0.091898] Некрасов Дмитрий Александрович
