Group size: 13106                                                  Group size: 14154                                                  Group size: 16452                                                  Group size: 17632                                                  Group size: 20347
[0.236987] Гонгальский Максим Брониславович                        [0.032274] Демидов Михаил Александрович                            [0.084970] Лоскутов Артем Александрович                            [0.017289] Шац Михаил Григорьевич                                  [0.254133] Крашенинников Федор Геннадиевич
[0.236510] Пионтковский Андрей Андреевич                           [0.032116] Кралин Владлен Леонидович (Владимир Тор)                [0.084570] Завесов Александр Львович                               [0.017019] Резчиков (Абанин) Алексей Романович                     [0.252054] Ляскин Николай Николаевич
[0.232781] Шальнев Андрей Сергеевич                                [0.031286] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.083959] Магкоева Белла (Изабель) Казбековна                     [0.016572] Колесников Вадим Владимирович                           [0.251893] Кавказский Николай Юрьевич
[0.227551] Резчиков (Абанин) Алексей Романович                     [0.031181] Шатов Станислав Николаевич                              [0.083803] Русакова Елена Леонидовна                               [0.016046] Лазарева Татьяна Юрьевна                                [0.248913] Ольшанский Леонид Дмитриевич
[0.220631] Залесский Александр Валерьевич                          [0.029390] Пархоменко Сергей Борисович                             [0.082273] Отставных Валерий Владимирович                          [0.014576] Радченко Всеволод Валерьевич                            [0.248900] Колесников Сергей Владимирович
[0.219707] Радченко Всеволод Валерьевич                            [0.028161] Развозжаев Леонид Михайлович                            [0.081431] Верзилов Петр Юрьевич                                   [0.013320] Васильева Елена Борисовна                               [0.248534] Шаргунов Сергей Александрович
[0.215841] Немцов Борис Ефимович                                   [0.026182] Поткин (Белов) Александр Анатольевич                    [0.079998] Каретникова Анна Георгиевна                             [0.013113] Собчак Ксения Анатольевна                               [0.243534] Пономарев Илья Владимирович
[0.214981] Кара-Мурза Владимир Владимирович                        [0.026081] Соболь Любовь Эдуардовна                                [0.079857] Лукьянова Елена Анатольевна                             [0.011324] Дровецкий Василий Валерьевич                            [0.240681] Езеев Федор Андреевич
[0.213928] Лурье Олег Анатольевич                                  [0.025659] Дровецкий Василий Валерьевич                            [0.079648] Крылов Константин Анатольевич                           [0.010194] Быков Дмитрий Львович                                   [0.239026] Коровин Вадим Александрович
[0.212302] Ольшанский Леонид Дмитриевич                            [0.025625] Будрайтскис Илья Борисович                              [0.078815] Тютрин Иван Иванович                                    [0.007543] Кралин Владлен Леонидович (Владимир Тор)                [0.235114] Аитова Екатерина Петровна
[0.210928] Магкоева Белла (Изабель) Казбековна                     [0.025435] Кашин Олег Владимирович                                 [0.068028] Царьков Пётр Анатольевич                                [0.007028] Воробьев Станислав Анатольевич                          [0.230682] Шелков Павел Николаевич
[0.210226] Крашенинников Федор Геннадиевич                         [0.025183] Шалимов Роман Николаевич                                [0.067646] Янкаускас Константин Стасисович                         [0.006125] Поткин (Белов) Александр Анатольевич                    [0.221388] Волкова Александра Ивановна (Женя Отто)
[0.210015] Сахнин Алексей Викторович                               [0.025157] Дзядко Филипп Викторович                                [0.066259] Шальнев Андрей Сергеевич                                [0.006026] Пушкарева Наталья Александровна                         [0.220195] Иванов Дмитрий Сергеевич (kamikadze_d)
[0.209479] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.025113] Шеин Олег Васильевич                                    [0.062440] Горник Александр Львович                                [0.005859] Каспаров Гарри Кимович                                  [0.218893] Лукьянова Елена Анатольевна
[0.208973] Рыклин Александр Юрьевич                                [0.024386] Сахнин Алексей Викторович                               [0.060861] Бакиров Игорь Вакильевич                                [0.005331] Печенев Александр Сергеевич                             [0.212979] Сахнин Алексей Викторович
[0.205297] Романова Ольга Евгеньевна                               [0.024070] Василенко Павел Владимирович                            [0.060793] Шелков Павел Николаевич                                 [0.005217] Чирикова Евгения Сергеевна                              [0.207849] Шнейдер Михаил Яковлевич
[0.203752] Горник Александр Львович                                [0.023942] Резчиков (Абанин) Алексей Романович                     [0.060256] Залесский Александр Валерьевич                          [0.005199] Винокуров Александр Иванович                            [0.184529] Дровецкий Василий Валерьевич
[0.201556] Будрайтскис Илья Борисович                              [0.023589] Дегтярь Иван Васильевич                                 [0.056985] Галямина Юлия Евгеньевна                                [0.005088] Навальный Алексей Анатольевич                           [0.183124] Залесский Александр Валерьевич
[0.199781] Чернышева Наталья Юрьевна                               [0.022707] Андреянов Сергей Николаевич                             [0.056964] Некрасов Дмитрий Александрович                          [0.004936] Чернов Дмитрий Валерьевич                               [0.181640] Бакиров Игорь Вакильевич
[0.199040] Вистицкий Михаил Михайлович                             [0.022531] Санников Максим Андреевич                               [0.056242] Вистицкий Михаил Михайлович                             [0.004875] Ольшанский Леонид Дмитриевич                            [0.181168] Удальцова Анастасия Олеговна
[0.196849] Пономарев Илья Владимирович                             [0.022420] Бабченко Аркадий Аркадьевич                             [0.055363] Сангаев Игорь Вячеславович                              [0.004845] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.180144] Шальнев Андрей Сергеевич
