Group size: 17730                                                  Group size: 20940                                                  Group size: 43021
[0.001297] Козырев Олег Вилисович                                  [0.010976] Городенцев Андрей Геннадьевич                           [0.041341] Смирнов Сергей Сергеевич
[0.001296] Верзилов Петр Юрьевич                                   [0.010710] Козырев Олег Вилисович                                  [0.040864] Давыдов Андрей Владимирович
[0.001296] Смирнов Сергей Сергеевич                                [0.010578] Радостева Наталья Евгеньевна                            [0.040620] Спорыхина Ульяна Викторовна
[0.001290] Пархоменко Сергей Борисович                             [0.010276] Беззуб Алексей Юрьевич                                  [0.040573] Лавров Андрей Валерьевич
[0.001282] Романовский Владимир Геннадьевич                        [0.010267] Васильева Елена Борисовна                               [0.040555] Пряников Павел Николаевич
[0.001279] Лукьянова Елена Анатольевна                             [0.010254] Янкаускас Константин Стасисович                         [0.039947] Зорин Константин Игоревич
[0.001241] Развозжаев Леонид Михайлович                            [0.009713] Безруких Олег Анатольевич                               [0.039384] Литвинов Георгий Александрович (Артём Драгунов)
[0.001215] Мыльникова Марина Сергеевна                             [0.009249] Литвинов Георгий Александрович (Артём Драгунов)         [0.039210] Поляков Анатолий Викторович
[0.001186] Дзядко Филипп Викторович                                [0.009196] Русакова Елена Леонидовна                               [0.038237] Бурашников Дмитрий Андреевич
[0.001184] Лазуренко (Северский) Артем Сергеевич                   [0.008877] Гребнева Ирина Георгиевна                               [0.038213] Кузнецов Андрей Владимирович
[0.001137] Албуров Георгий Валентинович                            [0.008821] Петречук Лариса Леонидовна                              [0.037186] Сайдашев Радик Ромович
[0.001128] Шулипа Юрий Юрьевич                                     [0.008772] Семенов Владимир Матвеевич                              [0.036074] Эсауленко Дмитрий Николаевич
[0.001128] Ренёв Денис Владимирович                                [0.008721] Дергачев Вадим Александрович                            [0.035942] Семенов Владимир Матвеевич
[0.001128] Галямина Юлия Евгеньевна                                [0.008617] Левшиц Николай Дмитриевич                               [0.035896] Баласанов Андрей Евгеньевич
[0.001102] Овдиенко Игорь Геннадьевич                              [0.008345] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.035839] Барабаш Кирилл Владимирович
[0.001102] Савостин Михаил Олегович                                [0.008292] Богомолов Юрий Александрович                            [0.032730] Моша Юрий Игоревич
[0.001072] Марянин Игорь Сергеевич                                 [0.008147] Стариков Иван Валентинович                              [0.031861] Будникова Софья Владимировна
[0.001071] Удальцова Анастасия Олеговна                            [0.008143] Сайдашев Радик Ромович                                  [0.030872] Ободина Стелла Юрьевна
[0.001030] Лебедев Константин Владимирович                         [0.007460] Шнейдер Михаил Яковлевич                                [0.030083] Терегулов Артур Ринатович
[0.001020] Малышев Владимир Эдуардович                             [0.007453] Ляскин Николай Николаевич                               [0.029790] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)
[0.001015] Прохоров (Шинфейн) Максим Геннадьевич                   [0.007427] Смирнов Сергей Сергеевич                                [0.029640] Курамшин Владимир Вячеславович
[0.001015] Моша Юрий Игоревич                                      [0.007408] Бескоровайный Алексей Викторович                        [0.027943] Иванов Андрей Геннадьевич
[0.001015] Первушин Александр Сергеевич                            [0.007370] Галямина Юлия Евгеньевна                                [0.027859] Крюков Василий Анатольевич
[0.001015] Русакова Елена Леонидовна                               [0.007157] Овдиенко Игорь Геннадьевич                              [0.026245] Семенов Игорь Вячеславович
[0.000970] Шалимова Надежда Валерьевна                             [0.006464] Баласанов Андрей Евгеньевич                             [0.026050] Виноградов Сергей Николаевич
[0.000959] Коровин Вадим Александрович                             [0.005867] Митюшкина Надежда Львовна                               [0.026023] Мухин Юрий Игнатьевич
[0.000959] Кашин Олег Владимирович                                 [0.005775] Косякин Константин Юрьевич                              [0.024902] Кудрявцев Федор Александрович
[0.000903] Безруких Олег Анатольевич                               [0.005418] Головин Дмитрий Александрович                           [0.024788] Первушин Александр Сергеевич
