Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.033896] Дегтярь Иван Васильевич                                 [0.248197] Дзядко Филипп Викторович                                [0.072977] Бабченко Аркадий Аркадьевич                             [0.392208] Мирзоев Владимир Владимирович                           [0.263750] Езеев Федор Андреевич                                   [0.363515] Каретникова Анна Георгиевна
[0.029204] Лавров Андрей Валерьевич                                [0.245687] Шалимов Роман Николаевич                                [0.070824] Удальцова Анастасия Олеговна                            [0.388915] Шеин Олег Васильевич                                    [0.259876] Каретникова Анна Георгиевна                             [0.358686] Шелков Павел Николаевич
[0.028709] Собчак Ксения Анатольевна                               [0.242494] Гонгальский Максим Брониславович                        [0.070800] Демушкин Дмитрий Николаевич                             [0.384741] Санников Максим Андреевич                               [0.252984] Ольшанский Леонид Дмитриевич                            [0.335800] Пивоваров Андрей Сергеевич
[0.025707] Спорыхина Ульяна Викторовна                             [0.242417] Дровецкий Василий Валерьевич                            [0.070092] Аншаков Михаил Геннадьевич                              [0.336247] Лебедев Константин Владимирович                         [0.248201] Тютрин Иван Иванович                                    [0.328634] Давидис Сергей Константинович
[0.025370] Кралин Владлен Леонидович (Владимир Тор)                [0.240260] Илларионов Андрей Николаевич                            [0.064920] Лурье Олег Анатольевич                                  [0.321939] Аншаков Михаил Геннадьевич                              [0.238627] Колесников Сергей Владимирович                          [0.295845] Залесский Александр Валерьевич
[0.024620] Шалимов Роман Николаевич                                [0.235258] Шальнев Андрей Сергеевич                                [0.064086] Волкова Александра Ивановна (Женя Отто)                 [0.320124] Баронова Мария Николаевна                               [0.227432] Крашенинников Федор Геннадиевич                         [0.257286] Шальнев Андрей Сергеевич
[0.024160] Дровецкий Василий Валерьевич                            [0.233007] Езеев Федор Андреевич                                   [0.064032] Завесов Александр Львович                               [0.318897] Аитова Екатерина Петровна                               [0.221870] Бабченко Аркадий Аркадьевич                             [0.240697] Царьков Пётр Анатольевич
[0.022860] Андреянов Сергей Николаевич                             [0.232979] Наганов Владислав Игоревич                              [0.063250] Давыдов Андрей Владимирович                             [0.314313] Сахнин Алексей Викторович                               [0.218707] Царьков Пётр Анатольевич                                [0.205348] Тютрин Иван Иванович
[0.022835] Резчиков (Абанин) Алексей Романович                     [0.232043] Тютрин Иван Иванович                                    [0.061797] Аитова Екатерина Петровна                               [0.302067] Козырев Олег Вилисович                                  [0.216161] Пономарев Илья Владимирович                             [0.158932] Рыклин Александр Юрьевич
[0.022756] Будрайтскис Илья Борисович                              [0.230433] Тюрин Андрей Владимирович                               [0.060062] Рыклин Александр Юрьевич                                [0.300588] Волкова Александра Ивановна (Женя Отто)                 [0.210778] Завесов Александр Львович                               [0.028988] Тюрин Андрей Владимирович
[0.022694] Поткин (Белов) Александр Анатольевич                    [0.228771] Коровин Вадим Александрович                             [0.059794] Власов Сергей Игоревич                                  [0.295849] Кавказский Николай Юрьевич                              [0.206238] Ляскин Николай Николаевич                               [0.019411] Крылов Константин Анатольевич
[0.022146] Сухарева Татьяна Викторовна                             [0.228620] Пионтковский Андрей Андреевич                           [0.057279] Каретникова Анна Георгиевна                             [0.291852] Бабченко Аркадий Аркадьевич                             [0.203554] Шаргунов Сергей Александрович                           [0.019247] Давыдов Андрей Владимирович
[0.021645] Развозжаев Леонид Михайлович                            [0.223743] Резчиков (Абанин) Алексей Романович                     [0.056989] Царьков Пётр Анатольевич                                [0.285142] Власов Сергей Игоревич                                  [0.202006] Гонгальский Максим Брониславович                        [0.019134] Демушкин Дмитрий Николаевич
