Id,Label,Curia,Block,x,y,z,m
103,Ponomarev Il'ja, common, ,-1.6225455671403,-1.57721258113755,-0.65945168599111,2.21314163235395
104,Potkin Basmanov, common, ,-4.62495435972296,1.44431663669557,-3.13761853686819,-1.49855464299019
105,Prjanikov Pavel, common, progressivnyj_blok,-2.44825058815143,-0.569743557593027,0.463794899914883,4.15683089818764
106,Putenihin Dmitrij, common, ,0.0421859159433808,-1.69660591354583,-3.34269832089947,2.10012634847469
107,Radosteva Natal'ja, common, ,-4.78080846606856,0.00459815123867224,-0.81111448687275,-1.96663716705459
108,Renjov Denis, common, ,1.09887494137891,0.678180433201926,1.82860985951327,-2.52081007590365
109,Romanovskij Vladimir, common, ,0.00670827783830151,-2.30589276407131,3.8376948186792,2.92554442616692
110,Rusakova Elena, common, ,2.33174710026047,-2.0441958691615,-0.658646022959438,-0.193545423459733
111,Savostin Mihail, common, ,-2.56957923964552,-1.26468321138136,0.148639362346683,2.15083838981356
112,Sajdashev Radik, common, ,2.85703231149153,1.18478105350206,0.233204842161871,-0.174613739024118
113,Samsonov Artjom, common, ,-0.715960872312777,-1.50767853447188,1.30406387739472,-0.0285283860121748
114,Sangaev Igor', common, ,-4.39501646324253,-3.61747051075608,-0.150282428762066,1.81162516141756
115,Semenov Vladimir, common, ,-2.98374722293274,4.03221310335413,-2.1198932443924,0.799397394627887
116,Semenov Igor', common, ,-0.671450474936221,0.684843016935118,1.67015883727946,2.09349543557181
117,Skalauh Ivan, common, ,0.696445010905506,-0.749526833087842,1.56795802577719,0.53670793486797
118,Smirnov Sergej, common, progressivnyj_blok,0.429919822521898,-1.9957078999753,-2.74801637289177,-0.906962140596262
119,Sobol' Ljubov', common, sem_kandidatov_semi_proektov,3.60888196602092,-0.377245417937459,-0.803136731416916,-2.27934609522453
120,Sobchak Ksenija, common, grazhdanskaya_platforma,2.13905339323785,0.404237859968946,3.57998495181693,0.483291346890312
121,Sporyhina Ul'jana, common, ,-3.17940630151002,1.29031659963183,-1.52274781155355,-0.36230293540122
122,Stefanov Boris, common, ,-1.96433865093333,-1.66944120035029,-1.26584265015686,-1.88155527470952
123,Suhareva Tat'jana, common, ,2.71736714688946,0.345268100324305,2.6062109816731,-1.35707571838946
124,Suhorukov Dmitrij, common, ,-4.16112073613757,2.28428403241949,-1.35837517077458,-1.50720008876635
125,Teregulov Artur, common, ,1.62036769523306,0.779986582364984,-1.24537865012266,0.0528458806566174
126,Udal'cova Anastasija, common, ,-2.22995717717588,1.65315872040313,1.06734317436861,-0.346500606406442
127,Holmogorova Natalija, common, ,-3.63074148843378,2.27377027165305,-0.321853197721638,-0.0365780523245845
128,Chernysheva Natal'ja, common, partiya_5_dekabrya,-2.69586455065383,-0.329288845327559,-2.9656841805312,0.824295665553268
129,Chuprov Aleksej, common, ,4.270333439276,0.531798628287543,-2.18027321924722,-1.15264622849419
130,Shatov Stanislav, common, ,1.9266952905133,-1.14427431805294,1.01114030862207,2.36708663501826
131,Shac Mihail, common, grazhdanskaya_platforma,0.788542942460552,-1.99153639664257,1.99334643701629,-1.02261380667235
132,Shnejder Mihail, common, ,4.98775734759238,-0.495869239900684,1.93215476180967,-1.48547122344772
133,Scherbakov Aleksandr, common, belyj_blok,1.00192315314009,-1.71217855180742,0.342480512275313,-0.0428753229512689
134,E'saulenko Dmitrij, common, ,0.12442783215848,-0.468128477524245,1.63233287414158,4.04076916625175
135,Jankauskas Konstantin, common, partiya_5_dekabrya,0.399293744175619,-2.43929751626536,0.57824632453083,0.662106452956923
136,Jashin Jasin, common, ,-3.75735740317748,-4.753011592602,0.364136822618594,1.17896454694753
137,Jashin Il'ja, common, obnovlenie,2.08611891626995,0.468163693938441,0.845921311691487,0.108075689203326
138,Aitova Ekaterina, lib, ,2.50400944609298,0.323581619266897,-0.691913255420047,0.30402216829736
139,Volkova Aleksandra, lib, ,-3.82848216577944,-4.83076930832294,0.534572040523568,0.895124073958686
140,Gaskarov Aleksej, lib, ,-3.73088747813582,-2.48748734532679,1.32726961318616,0.192694295356607
141,Kavkazskij Nikolaj, lib, ,-3.84848665059379,-2.65474864711692,-2.15197172438264,0.411684135998673
142,Nikolaev Aleksandr, lib, ,-5.84748752121806,2.22126474847664,-1.28098410403504,-0.0574626175422653
143,Pechenev Aleksandr, lib, ,-3.34238383765078,2.21356327892383,0.850125988737541,0.74253435286652
144,Razvozzhaev Leonid, lib, ,-3.44114499314469,-1.68483213257311,0.963202045760875,-0.543581948190943
145,Rafailov Georgij, lib, ,-4.24347585140393,-4.60870328377059,-1.06202124742463,-0.376261115694263
146,Sannikov Maksim, lib, ,-0.0555097187076543,-2.51701926187063,-0.68163444762153,-0.848226978948433
147,Sahnin Aleksej, lib, ,-5.5218047099217,-4.48050539547382,-0.881982822815816,-1.32306549294113
148,Shalimov Roman, lib, ,-3.62150052759866,-0.831780688599685,1.2722966843106,1.52014300816518
149,Davidis Sergej, left, partiya_5_dekabrya,3.44029849209324,-1.12599499508084,-0.74050410634805,-0.520639714756318
150,Dolgih Anton, left, ,2.28073405020244,2.69409283119893,-0.616719273871317,0.666681517619098
151,Zavesov Aleksandr, left, ,3.33116072152125,-0.404503410278718,-4.1475700248724,2.11690080618476
152,Zalesskij Aleksandr, left, partiya_5_dekabrya,6.00685912890008,-0.413641602874642,-2.54155709804538,-0.922127694632344
153,Karetnikova Anna, left, partiya_5_dekabrya,0.899444321493695,-1.93738800472818,0.445231202812926,1.6772007230654
154,Pivovarov Andrej, left, ,2.61160946965709,1.80488097295308,0.265062511525019,-1.36645667327436
155,Ryklin Aleksandr, left, obedinennyj_grazhdanskij_front,4.41525985918151,-1.04895105833131,-0.937951326542499,0.180775428938061
156,Tjutrin Ivan, left, obedinennyj_grazhdanskij_front,3.06008232468892,-1.39717333155355,-2.05567433869148,-1.52673754881108
157,Car'kov Pjotr, left, partiya_5_dekabrya,2.20798727045872,1.25046064747023,0.844039055411642,-0.144088861287642
158,Shal'nev Andrej, left, progressivnyj_blok,5.02284660752882,-0.389813240995699,-1.96233225912601,-1.5726834035138
159,Artjomov Igor', naz, ,-5.4283870915996,3.30062331675774,-1.49914884664438,1.83529531983553
160,Vorob'ev Stanislav, naz, ,-5.12407486597132,0.578843535474014,-0.976348279082016,-4.84637606873937
161,Demushkin Dmitrij, naz, ,-2.41586849659977,3.4475507918046,-0.720406439450798,1.00531292723416
162,Droveckij Vasilij, naz, ,-0.21728744703084,0.0582859880729593,-3.80246090122148,-1.56313328128197
163,Konstantinov Daniil, naz, ,-1.96784094857344,2.27628952352084,-0.636185016203116,1.22622322433386
164,Krylov Konstantin, naz, ,-1.98132229599701,3.12712482024771,-0.0412611412838636,-0.36411577420573
165,Potkin Belov, naz, ,-1.3363789438298,3.3531276069665,-2.32287898650165,0.65609029901042
166,Radchenko Vsevolod, naz, ,-2.38459407464985,3.05506475476278,-0.774522166215761,-0.354948930205707
167,Rezchikov Abanin, naz, ,-1.21665375478637,3.6726226197474,-1.55666306079282,-0.367698834187234
