Source Target Weight Type
101 161 1.6148351928655 undirected
109 141 1.6148351928655 undirected
122 139 1.6148351928655 undirected
3 21 1.52277442494834 undirected
3 71 1.52277442494834 undirected
7 139 1.52277442494834 undirected
12 84 1.52277442494834 undirected
12 112 1.52277442494834 undirected
15 65 1.52277442494834 undirected
18 114 1.52277442494834 undirected
23 156 1.52277442494834 undirected
25 53 1.52277442494834 undirected
29 92 1.52277442494834 undirected
30 61 1.52277442494834 undirected
30 111 1.52277442494834 undirected
33 61 1.52277442494834 undirected
39 65 1.52277442494834 undirected
39 152 1.52277442494834 undirected
47 76 1.52277442494834 undirected
52 168 1.52277442494834 undirected
53 154 1.52277442494834 undirected
58 93 1.52277442494834 undirected
61 158 1.52277442494834 undirected
64 152 1.52277442494834 undirected
67 171 1.52277442494834 undirected
68 121 1.52277442494834 undirected
69 168 1.52277442494834 undirected
71 114 1.52277442494834 undirected
72 131 1.52277442494834 undirected
73 139 1.52277442494834 undirected
76 139 1.52277442494834 undirected
112 119 1.52277442494834 undirected
140 155 1.52277442494834 undirected
167 169 1.52277442494834 undirected
3 139 1.43223563716998 undirected
3 160 1.43223563716998 undirected
6 134 1.43223563716998 undirected
7 59 1.43223563716998 undirected
12 73 1.43223563716998 undirected
15 153 1.43223563716998 undirected
18 61 1.43223563716998 undirected
18 83 1.43223563716998 undirected
22 159 1.43223563716998 undirected
28 143 1.43223563716998 undirected
30 75 1.43223563716998 undirected
30 152 1.43223563716998 undirected
31 54 1.43223563716998 undirected
31 158 1.43223563716998 undirected
31 160 1.43223563716998 undirected
33 93 1.43223563716998 undirected
35 152 1.43223563716998 undirected
39 47 1.43223563716998 undirected
43 50 1.43223563716998 undirected
43 75 1.43223563716998 undirected
46 101 1.43223563716998 undirected
47 93 1.43223563716998 undirected
47 152 1.43223563716998 undirected
49 61 1.43223563716998 undirected
57 92 1.43223563716998 undirected
58 140 1.43223563716998 undirected
59 110 1.43223563716998 undirected
61 95 1.43223563716998 undirected
67 170 1.43223563716998 undirected
73 112 1.43223563716998 undirected
75 153 1.43223563716998 undirected
76 95 1.43223563716998 undirected
76 112 1.43223563716998 undirected
84 127 1.43223563716998 undirected
90 129 1.43223563716998 undirected
90 168 1.43223563716998 undirected
95 153 1.43223563716998 undirected
100 134 1.43223563716998 undirected
120 149 1.43223563716998 undirected
120 152 1.43223563716998 undirected
140 152 1.43223563716998 undirected
152 158 1.43223563716998 undirected
5 115 1.34314575050762 undirected
6 54 1.34314575050762 undirected
9 68 1.34314575050762 undirected
12 74 1.34314575050762 undirected
15 75 1.34314575050762 undirected
16 56 1.34314575050762 undirected
18 39 1.34314575050762 undirected
18 49 1.34314575050762 undirected
25 33 1.34314575050762 undirected
27 122 1.34314575050762 undirected
28 147 1.34314575050762 undirected
30 76 1.34314575050762 undirected
33 100 1.34314575050762 undirected
34 91 1.34314575050762 undirected
35 158 1.34314575050762 undirected
36 122 1.34314575050762 undirected
40 139 1.34314575050762 undirected
47 73 1.34314575050762 undirected
49 79 1.34314575050762 undirected
53 161 1.34314575050762 undirected
54 156 1.34314575050762 undirected
56 76 1.34314575050762 undirected
56 154 1.34314575050762 undirected
58 65 1.34314575050762 undirected
61 160 1.34314575050762 undirected
73 156 1.34314575050762 undirected
75 119 1.34314575050762 undirected
86 158 1.34314575050762 undirected
90 118 1.34314575050762 undirected
92 100 1.34314575050762 undirected
93 122 1.34314575050762 undirected
127 153 1.34314575050762 undirected
129 168 1.34314575050762 undirected
139 158 1.34314575050762 undirected
155 158 1.34314575050762 undirected
7 149 1.25543735346197 undirected
12 43 1.25543735346197 undirected
12 61 1.25543735346197 undirected
12 118 1.25543735346197 undirected
16 112 1.25543735346197 undirected
18 76 1.25543735346197 undirected
