"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25"
"q11",0.278035277519421,0.0409842654250514,0.0472903916239209,-0.183910124448405,-0.132746623087173,0.119028864663605,0.240756318014102,-0.140760237104146,0.0362297597862741,0.117228665815676,0.138001038669927,-0.147999739081916,-0.171652240090372,-0.07452723053662,0.0235966839330121,0.164853280378105,-0.408042282262155,0.179497489854906,-0.0395081869540894,-0.249430725135683,-0.454198788629021,0.251920860673302,0.341018940735515,-0.080899453646974,-0.0392615082497095
"q12",-0.0524460607904339,0.517359667327274,-0.185439675891032,0.315352748183477,0.225772942304116,-0.185439112553942,0.283113696180659,-0.332114492979813,-0.0432847560349629,-0.185950231474099,-0.168617271297925,-0.0532361968218391,-0.164753061342814,0.0776480642434914,-0.0377461236059528,0.169331325258352,-0.0260708660946501,0.337118359041126,-0.176187210231547,0.0687266267073794,0.180455090962124,0.0703775713598048,-0.0325720304002331,-0.0147829457328889,0.00779725763476133
"q13",0.271694261716581,0.0421181819012101,0.0995080605799852,0.0110119700701676,-0.148432486198468,0.148923126228943,0.393528492216241,0.062150552484645,0.0390921208491512,0.307049808361134,-0.52790344381432,-0.216253718476525,0.253366859832397,0.184072908416202,-0.0339788134254727,-0.202087645379117,0.159772899721491,0.119079953268462,0.147029086209224,0.193970648406928,-0.127826892358354,-0.0832294876296356,-0.106137547198611,0.122431259737935,0.0406127668518877
"q14",-0.258284646114925,0.411950207560289,0.0683562401164438,0.206609823586225,-0.221553521615134,0.0276289040095639,-0.0124904480899926,0.139577818645371,0.231562742681271,0.0612116901554907,0.157985064908074,-0.0450981216936914,0.0658707016786281,0.329780436365392,0.074658540588818,0.164138555643505,0.133109132382172,-0.319110704024287,-0.0856256716837041,-0.200833517469441,-0.384050990427082,0.0663025449138878,-0.262760447767654,0.0812201844113052,-0.14839585088733
"q15",-0.0311175062569792,0.190900514563171,-0.541798374048885,-0.0665510314486059,-0.49251027605292,0.218216353358435,-0.312147210080426,0.110967019530156,-0.201280989343765,0.117594984730029,0.0226196557019866,0.0708800042804282,-0.152093279192685,0.20114177934239,-0.0199117508453228,-0.139976950282779,0.0173819845522234,0.301375004820714,0.0864940016200309,-0.000213549619685997,0.077473248269358,0.0107239904592748,0.0548008872394804,-0.0196108686133697,0.114481896399137
"q16",0.0266345267454718,0.044501245072758,-0.0852057465536463,-0.0925459598471168,0.0805887396634436,0.242013366511246,0.0308352408809789,-0.0647364667103563,-0.0432286128749691,-0.064192819235296,-0.0292260537688478,0.0045618481213129,-0.0822793591046265,0.0374922561157801,0.0385103204740306,0.0923184516107437,0.029569866119062,0.00072649920248033,0.0323425683543152,-0.142883903708211,0.0631473711774503,-0.559150003249661,0.226382566209775,0.313546699692887,-0.630634165806675
"q17",0.0151884392107356,-0.250257485732537,0.104316448340531,-0.21444160143967,-0.319693146779749,0.0128359288690106,0.0976473053214471,-0.023566525067152,-0.0488503950293874,-0.109048487232659,-0.0470368231579526,-0.0670804825131033,0.159013492410502,0.182043639610723,0.0373479579048274,0.157892083216986,-0.138227760250781,0.126133619500661,-0.662202748612804,-0.165162315193926,0.284247840495612,-0.0119437727369784,-0.26767178386514,0.092549507000801,-0.01065978122287
"q18",-0.349426448019596,-0.0114588437807004,-0.135032072149313,-0.207887171562832,0.08153359361104,-0.0278108100874992,0.205506302206543,-0.0809156032929933,0.333264932008528,0.103038707251547,0.173449172545884,-0.0501415755757425,-0.207064176648018,0.0402376181461752,-0.118762203971777,-0.577142848350387,-0.269031092260988,-0.0289539673630061,-0.175844402575697,0.255764426454003,-0.0423024952776273,-0.0172377829069598,-0.0585715471487942,0.192026013156983,-0.046898902270298
"q19",-0.287279123708744,-0.0253345032825255,0.132341387220724,0.0285230062160225,0.140646128046773,0.10361607817481,-0.0341567354080311,0.335923558127881,0.0956085650229093,0.297008409976075,-0.234210779629347,-0.0943566107173965,-0.342330144647179,-0.16982813703156,0.350043536722927,0.194404631416212,-0.143937477117728,0.176280191513097,0.118711405581678,-0.197209291229615,0.207049503180745,0.125246590305059,-0.0938271600249062,0.315917570915323,0.120680759088212
"q20",0.259248526348477,0.121113302494343,0.146807461339988,0.0531751035639243,0.145665112114318,0.186201757971636,-0.097897267436408,-0.103879482089999,-0.0608918862582522,-0.0238350199421603,0.0829157921838929,0.447150072744678,0.00288026679006827,-0.0611784127532687,0.56143455872971,-0.310336005406413,0.00900267096120851,0.207220087365321,-0.168666180629256,0.023333759426939,-0.214042371266044,-0.0731910349453652,-0.260021716391993,-0.0162448477473507,0.00740646652565021
"q21",-0.0747021511586981,0.120793952607518,0.0665092070448475,-0.0596854159600735,-0.179993648391181,-0.0880455124634665,0.00769962737686834,0.0414195293243783,-0.0191632832354013,0.0773211018734157,0.00595850231572723,-0.0248517022616597,0.0359563433928934,0.0298675054522293,0.260764743567582,0.295439760071882,-0.493877157343321,-0.112995079619856,0.136548265509288,0.503849502965187,0.0515449833572112,-0.354003898679469,-0.0895562698985776,-0.316560945048918,-0.00722397459405372
"q22",-0.0569381731614822,0.35880501683116,0.0733656685382886,-0.397260823681001,0.159152122696688,-0.167441278699059,-0.44922349583713,-0.0197218685532249,0.223587765932284,-0.0114636850046588,-0.132441451749774,-0.170474774450457,0.501748029428428,-0.0631273725531216,0.0495004966379099,-0.0389148970971625,-0.0704431876512783,0.217883201954382,-0.0233025490238989,-0.0302538941024768,0.00116687755067309,0.0744131584178667,0.159391995824814,0.0800013321309148,-0.03996484200862
"q23",0.0822828758142431,0.204513678726641,-0.106102003024834,-0.265502492684065,-0.172863023943565,-0.191958689457647,0.132767576448678,0.115590023966552,-0.00147564050088475,-0.346248592271337,-0.286411958061733,-0.094255727812462,-0.187037171529803,-0.328414801002846,0.0499975732964769,-0.242939249877384,-0.0501185396637005,-0.21365315402591,0.140501115752363,-0.373497865121535,0.0183459715763085,-0.110930075615842,-0.28253296371575,-0.235393506615699,-0.0386522683659276
"q24",0.347186590485779,0.218070869406516,-0.0218586900742367,-0.0901333203808391,-0.0518912582251044,-0.0251982443033489,-0.0506287337247693,-0.065575145187567,-0.268032663594107,0.0214399350142812,0.0642264246511992,0.0833797697502996,-0.00562324048402632,-0.0778751263724694,-0.0650449521615634,0.0321377796512876,-0.210135894646708,-0.374938832268915,0.0918646088925538,0.20510827622911,0.189658418855328,0.372654666344214,-0.164749791621182,0.516215997056325,-0.121109412582842
"q25",0.0256078305007938,0.189271963027684,0.486369114441666,-0.273183786079139,-0.214020608905095,-0.305330560162848,-0.0692133632472225,-0.136662047137283,0.00618036104212857,0.292782825423076,-0.0295138314279268,0.308905769057937,-0.390352175016621,0.0787093956266991,-0.216482626674319,0.0194822745403262,0.259948576468409,0.0710848967931309,-0.0220025446719904,0.025109275726736,0.0896004529451375,-0.0936562587241375,0.0918687819649046,-0.0504415389505807,-0.0210837118555367
