"","","curias","x","y"
"113","YAnkauskas","1","0.412281090154543","-0.363008468021624"
"114","YAshin_(YAsin)","1","-3.5621684017308","-1.25300265183075"
"115","Aitova","2","2.446415230431","-0.280237724082031"
"116","Volkova_A.","2","-3.64887599220818","-1.25420925962818"
"117","Kavkazskij","2","-3.74959414964905","-2.80071247295538"
"118","Nikolaev","2","-6.04898938482614","-0.355430860687647"
"119","Pechenev","2","-3.54183465015941","1.85091708684676"
"120","Rafailov","2","-4.05306052936225","-2.67735213502186"
"121","Sannikov","2","0.066060238949992","-2.00017752734364"
"122","SHalimov","2","-3.07969350049639","1.22911270537909"
"123","Davidis","3","3.40178379749771","-1.27998526876945"
"124","Dolgih","3","1.67075043711866","-1.13086600411916"
"125","Zalesskij","3","5.93351251298405","-2.49623748280547"
"126","Karetnikova","3","0.957355379807282","0.04326132227694"
"127","Pivovarov","3","2.56272454977974","0.725867261156805"
"128","Tyutrin","3","2.99980368870395","-2.92760908598267"
"129","TSarkov","3","2.05973884139172","1.21833186153207"
"130","SHalnev","3","4.97758741255028","-2.29680553840527"
"131","Artyomov","4","-5.59727086077423","0.565503099665434"
"132","Vorobev","4","-5.17132215899154","-2.01932445245694"
"133","Demushkin","4","-2.52827289332329","1.28020826913364"
"134","Drovetskij","4","-0.432686713336729","-4.10664240492224"
"135","Krylov_K.","4","-2.14855126555171","1.02560661114115"
